CustomerID;Discount coupon
17850;1020
17850;1021
17850;1022
17850;1023
17850;1024
17850;1025
17850;1026
17850;1027
17850;1028
13047;1029
13047;1030
13047;1031
13047;1032
13047;1033
13047;1034
13047;1035
13047;1036
13047;1037
13047;1038
13047;1039
13047;1040
13047;1041
13047;1042
13047;1043
13047;1044
13047;1045
12583;1046
12583;1047
12583;1048
12583;1049
12583;1050
12583;1051
12583;1052
12583;1053
12583;1054
12583;1055
12583;1056
12583;1057
12583;1058
12583;1059
12583;1060
12583;1061
12583;1062
12583;1063
12583;1064
12583;1065
13748;1066
17850;1067
17850;1068
17850;1069
17850;1070
17850;1071
17850;1072
17850;1073
17850;1074
17850;1075
17850;1076
17850;1077
17850;1078
17850;1079
17850;1080
17850;1081
17850;1082
17850;1083
17850;1084
15100;1085
17850;1086
17850;1087
17850;1088
17850;1089
17850;1090
17850;1091
17850;1092
17850;1093
17850;1094
17850;1095
17850;1096
17850;1097
17850;1098
17850;1099
17850;1100
17850;1101
15291;1102
15291;1103
17850;1104
17850;1105
14688;1106
14688;1107
14688;1108
14688;1109
14688;1110
14688;1111
14688;1112
14688;1113
14688;1114
14688;1115
14688;1116
14688;1117
14688;1118
14688;1119
14688;1120
14688;1121
14688;1122
14688;1123
14688;1124
17809;1125
15311;1126
15311;1127
15311;1128
15311;1129
15311;1130
15311;1131
15311;1132
15311;1133
15311;1134
15311;1135
15311;1136
15311;1137
15311;1138
15311;1139
15311;1140
15311;1141
15311;1142
15311;1143
15311;1144
15311;1145
15311;1146
15311;1147
15311;1148
15311;1149
15311;1150
15311;1151
15311;1152
15311;1153
15311;1154
15311;1155
15311;1156
15311;1157
15311;1158
15311;1159
15311;1160
14527;1161
16098;1162
16098;1163
16098;1164
16098;1165
16098;1166
16098;1167
16098;1168
16098;1169
16098;1170
16098;1171
16098;1172
16098;1173
15311;1174
18074;1175
18074;1176
18074;1177
18074;1178
18074;1179
18074;1180
18074;1181
18074;1182
18074;1183
18074;1184
18074;1185
18074;1186
18074;1187
17420;1188
17420;1189
17420;1190
17420;1191
17420;1192
17420;1193
17420;1194
16029;1195
16029;1196
16029;1197
16029;1198
16029;1199
16029;1200
16029;1201
16029;1202
16250;1203
16250;1204
16250;1205
16250;1206
16250;1207
16250;1208
16250;1209
16250;1210
16250;1211
16250;1212
16250;1213
16250;1214
16250;1215
16250;1216
12431;1217
12431;1218
12431;1219
12431;1220
12431;1221
12431;1222
12431;1223
12431;1224
12431;1225
12431;1226
12431;1227
12431;1228
12431;1229
12431;1230
17511;1231
17511;1232
17511;1233
17511;1234
17511;1235
17511;1236
17511;1237
17511;1238
17511;1239
17511;1240
17511;1241
17511;1242
17511;1243
17511;1244
17511;1245
17511;1246
17511;1247
17511;1248
17511;1249
17511;1250
17511;1251
17511;1252
17511;1253
17511;1254
17548;1255
17548;1256
17548;1257
17548;1258
17548;1259
17548;1260
17548;1261
13705;1262
13705;1263
13705;1264
13705;1265
13705;1266
13705;1267
13705;1268
13705;1269
13705;1270
13705;1271
13747;1272
13408;1273
13408;1274
13408;1275
13408;1276
13408;1277
13408;1278
13408;1279
13408;1280
13408;1281
13408;1282
13408;1283
13767;1284
13767;1285
13767;1286
13767;1287
13767;1288
13767;1289
